Vardas              Pavarde             Galutinis(vid.)/    Galutinis(med.)
Vardas52            Pavarde52           3.6                 5
Vardas53            Pavarde53           0.6                 3
Vardas54            Pavarde54           6                   2
Vardas55            Pavarde55           3.6                 2
Vardas56            Pavarde56           0.6                 3
Vardas57            Pavarde57           1.2                 7
Vardas58            Pavarde58           2.4                 2
Vardas59            Pavarde59           1.2                 3
Vardas60            Pavarde60           5.4                 10
Vardas61            Pavarde61           2.4                 9
Vardas62            Pavarde62           5.4                 7
Vardas63            Pavarde63           4.8                 7
Vardas64            Pavarde64           2.4                 7
Vardas65            Pavarde65           6                   10
Vardas66            Pavarde66           4.8                 7
Vardas67            Pavarde67           4.2                 8
Vardas68            Pavarde68           0.6                 4
Vardas69            Pavarde69           0.6                 8
Vardas70            Pavarde70           0.6                 1
Vardas71            Pavarde71           3                   1
Vardas72            Pavarde72           1.8                 6
Vardas73            Pavarde73           3.6                 9
Vardas74            Pavarde74           4.2                 10
Vardas75            Pavarde75           6                   3
Vardas76            Pavarde76           1.8                 5
Vardas77            Pavarde77           4.2                 6
Vardas78            Pavarde78           4.8                 5
Vardas79            Pavarde79           3.6                 5
Vardas80            Pavarde80           4.2                 3
Vardas81            Pavarde81           4.2                 5
Vardas82            Pavarde82           0.6                 7
Vardas83            Pavarde83           0.6                 7
Vardas84            Pavarde84           3.6                 7
Vardas85            Pavarde85           3.6                 7
Vardas86            Pavarde86           5.4                 10
Vardas87            Pavarde87           4.8                 6
Vardas88            Pavarde88           4.2                 2
Vardas89            Pavarde89           3.6                 9
Vardas90            Pavarde90           3.6                 10
Vardas91            Pavarde91           1.2                 3
Vardas92            Pavarde92           4.2                 7
Vardas93            Pavarde93           4.8                 10
Vardas94            Pavarde94           4.8                 4
Vardas95            Pavarde95           4.8                 9
Vardas96            Pavarde96           3.6                 4
Vardas97            Pavarde97           4.2                 1
Vardas98            Pavarde98           2.4                 1
Vardas99            Pavarde99           4.8                 6
Vardas100           Pavarde100          2.4                 5
Vardas101           Pavarde101          5.4                 5
Vardas102           Pavarde102          6                   2
Vardas103           Pavarde103          3                   5
Vardas104           Pavarde104          4.8                 5
Vardas105           Pavarde105          4.8                 1
Vardas106           Pavarde106          5.4                 5
Vardas107           Pavarde107          5.4                 2
Vardas108           Pavarde108          6                   1
Vardas109           Pavarde109          2.4                 7
Vardas110           Pavarde110          0.6                 9
Vardas111           Pavarde111          3                   2
Vardas112           Pavarde112          3.6                 8
Vardas113           Pavarde113          3.6                 2
Vardas114           Pavarde114          3.6                 6
Vardas115           Pavarde115          2.4                 8
Vardas116           Pavarde116          6                   8
Vardas117           Pavarde117          6                   5
Vardas118           Pavarde118          5.4                 4
Vardas119           Pavarde119          1.2                 9
Vardas120           Pavarde120          3.6                 10
Vardas121           Pavarde121          0.6                 10
Vardas122           Pavarde122          4.8                 9
Vardas123           Pavarde123          4.8                 3
Vardas124           Pavarde124          1.2                 3
Vardas125           Pavarde125          6                   3
Vardas126           Pavarde126          4.2                 4
Vardas127           Pavarde127          4.2                 3
Vardas128           Pavarde128          4.2                 6
Vardas129           Pavarde129          4.2                 3
Vardas130           Pavarde130          6                   2
Vardas131           Pavarde131          4.2                 4
Vardas132           Pavarde132          6                   9
Vardas133           Pavarde133          1.2                 1
Vardas134           Pavarde134          4.2                 4
Vardas135           Pavarde135          3                   1
Vardas136           Pavarde136          4.2                 5
Vardas137           Pavarde137          0.6                 2
Vardas138           Pavarde138          4.8                 7
Vardas139           Pavarde139          1.2                 6
Vardas140           Pavarde140          0.6                 2
Vardas141           Pavarde141          1.8                 9
Vardas142           Pavarde142          3                   4
Vardas143           Pavarde143          5.4                 5
Vardas144           Pavarde144          5.4                 4
Vardas145           Pavarde145          3.6                 2
Vardas146           Pavarde146          3.6                 9
Vardas147           Pavarde147          5.4                 3
Vardas148           Pavarde148          2.4                 10
Vardas149           Pavarde149          3.6                 6
Vardas150           Pavarde150          3                   7
Vardas151           Pavarde151          4.8                 2
Vardas152           Pavarde152          1.2                 2
Vardas153           Pavarde153          4.2                 10
Vardas154           Pavarde154          0.6                 3
Vardas155           Pavarde155          1.2                 8
Vardas156           Pavarde156          2.4                 10
Vardas157           Pavarde157          1.2                 5
Vardas158           Pavarde158          4.2                 6
Vardas159           Pavarde159          0.6                 10
Vardas160           Pavarde160          5.4                 1
Vardas161           Pavarde161          1.8                 8
Vardas162           Pavarde162          1.2                 7
Vardas163           Pavarde163          2.4                 4
Vardas164           Pavarde164          0.6                 3
Vardas165           Pavarde165          0.6                 6
Vardas166           Pavarde166          3                   10
Vardas167           Pavarde167          0.6                 4
Vardas168           Pavarde168          4.8                 6
Vardas169           Pavarde169          2.4                 3
Vardas170           Pavarde170          4.2                 9
Vardas171           Pavarde171          1.8                 10
Vardas172           Pavarde172          2.4                 2
Vardas173           Pavarde173          1.2                 9
Vardas174           Pavarde174          0.6                 4
Vardas175           Pavarde175          0.6                 9
Vardas176           Pavarde176          6                   5
Vardas177           Pavarde177          6                   4
Vardas178           Pavarde178          4.8                 8
Vardas179           Pavarde179          1.2                 1
Vardas180           Pavarde180          1.2                 2
Vardas181           Pavarde181          1.2                 2
Vardas182           Pavarde182          1.8                 7
Vardas183           Pavarde183          1.2                 1
Vardas184           Pavarde184          1.2                 8
Vardas185           Pavarde185          2.4                 3
Vardas186           Pavarde186          3                   8
Vardas187           Pavarde187          5.4                 6
Vardas188           Pavarde188          2.4                 8
Vardas189           Pavarde189          5.4                 1
Vardas190           Pavarde190          4.8                 4
Vardas191           Pavarde191          2.4                 8
Vardas192           Pavarde192          6                   4
Vardas193           Pavarde193          0.6                 10
Vardas194           Pavarde194          5.4                 2
Vardas195           Pavarde195          3.6                 2
Vardas196           Pavarde196          5.4                 5
Vardas197           Pavarde197          6                   1
Vardas198           Pavarde198          4.2                 8
Vardas199           Pavarde199          5.4                 4
Vardas200           Pavarde200          2.4                 10
Vardas201           Pavarde201          4.2                 6
Vardas202           Pavarde202          4.8                 10
Vardas203           Pavarde203          2.4                 6
Vardas204           Pavarde204          4.2                 2
Vardas205           Pavarde205          2.4                 2
Vardas206           Pavarde206          6                   5
Vardas207           Pavarde207          6                   9
Vardas208           Pavarde208          0.6                 3
Vardas209           Pavarde209          2.4                 7
Vardas210           Pavarde210          6                   1
Vardas211           Pavarde211          4.8                 8
Vardas212           Pavarde212          2.4                 4
Vardas213           Pavarde213          6                   7
Vardas214           Pavarde214          4.8                 3
Vardas215           Pavarde215          4.2                 3
Vardas216           Pavarde216          5.4                 6
Vardas217           Pavarde217          1.8                 4
Vardas218           Pavarde218          4.2                 8
Vardas219           Pavarde219          5.4                 8
Vardas220           Pavarde220          3                   1
Vardas221           Pavarde221          4.8                 5
Vardas222           Pavarde222          5.4                 10
Vardas223           Pavarde223          4.2                 6
Vardas224           Pavarde224          1.2                 8
Vardas225           Pavarde225          2.4                 4
Vardas226           Pavarde226          3.6                 5
Vardas227           Pavarde227          0.6                 7
Vardas228           Pavarde228          6                   7
Vardas229           Pavarde229          6                   1
Vardas230           Pavarde230          3.6                 1
Vardas231           Pavarde231          1.2                 2
Vardas232           Pavarde232          3.6                 1
Vardas233           Pavarde233          2.4                 3
Vardas234           Pavarde234          5.4                 1
Vardas235           Pavarde235          3                   2
Vardas236           Pavarde236          0.6                 5
Vardas237           Pavarde237          6                   3
Vardas238           Pavarde238          6                   3
Vardas239           Pavarde239          0.6                 9
Vardas240           Pavarde240          4.8                 5
Vardas241           Pavarde241          1.2                 4
Vardas242           Pavarde242          1.2                 5
Vardas243           Pavarde243          1.8                 1
Vardas244           Pavarde244          1.2                 9
Vardas245           Pavarde245          3.6                 2
Vardas246           Pavarde246          1.8                 5
Vardas247           Pavarde247          0.6                 6
Vardas248           Pavarde248          3.6                 6
Vardas249           Pavarde249          3                   6
Vardas250           Pavarde250          1.8                 3
Vardas251           Pavarde251          2.4                 6
Vardas252           Pavarde252          4.2                 5
Vardas253           Pavarde253          1.8                 1
Vardas254           Pavarde254          5.4                 6
Vardas255           Pavarde255          2.4                 4
Vardas256           Pavarde256          3.6                 4
Vardas257           Pavarde257          4.2                 10
Vardas258           Pavarde258          4.8                 2
Vardas259           Pavarde259          4.8                 9
Vardas260           Pavarde260          5.4                 9
Vardas261           Pavarde261          4.8                 6
Vardas262           Pavarde262          1.2                 2
Vardas263           Pavarde263          1.8                 2
Vardas264           Pavarde264          1.8                 5
Vardas265           Pavarde265          3                   4
Vardas266           Pavarde266          1.8                 1
Vardas267           Pavarde267          6                   6
Vardas268           Pavarde268          3.6                 3
Vardas269           Pavarde269          6                   5
Vardas270           Pavarde270          5.4                 9
Vardas271           Pavarde271          0.6                 5
Vardas272           Pavarde272          0.6                 4
Vardas273           Pavarde273          5.4                 3
Vardas274           Pavarde274          4.8                 3
Vardas275           Pavarde275          3                   8
Vardas276           Pavarde276          3                   10
Vardas277           Pavarde277          3                   8
Vardas278           Pavarde278          6                   6
Vardas279           Pavarde279          4.2                 2
Vardas280           Pavarde280          5.4                 4
Vardas281           Pavarde281          4.2                 10
Vardas282           Pavarde282          0.6                 7
Vardas283           Pavarde283          5.4                 2
Vardas284           Pavarde284          2.4                 2
Vardas285           Pavarde285          3                   1
Vardas286           Pavarde286          5.4                 5
Vardas287           Pavarde287          5.4                 3
Vardas288           Pavarde288          2.4                 8
Vardas289           Pavarde289          2.4                 2
Vardas290           Pavarde290          4.8                 6
Vardas291           Pavarde291          2.4                 5
Vardas292           Pavarde292          2.4                 8
Vardas293           Pavarde293          1.8                 3
Vardas294           Pavarde294          1.2                 8
Vardas295           Pavarde295          4.8                 4
Vardas296           Pavarde296          5.4                 4
Vardas297           Pavarde297          4.8                 10
Vardas298           Pavarde298          1.2                 8
Vardas299           Pavarde299          3.6                 9
Vardas300           Pavarde300          4.8                 1
Vardas301           Pavarde301          6                   5
Vardas302           Pavarde302          3                   10
Vardas303           Pavarde303          5.4                 7
Vardas304           Pavarde304          1.8                 8
Vardas305           Pavarde305          1.2                 6
Vardas306           Pavarde306          2.4                 7
Vardas307           Pavarde307          6                   9
Vardas308           Pavarde308          0.6                 2
Vardas309           Pavarde309          2.4                 2
Vardas310           Pavarde310          1.8                 8
Vardas311           Pavarde311          1.8                 2
Vardas312           Pavarde312          2.4                 4
Vardas313           Pavarde313          1.2                 1
Vardas314           Pavarde314          3.6                 8
Vardas315           Pavarde315          4.2                 7
Vardas316           Pavarde316          5.4                 2
Vardas317           Pavarde317          4.8                 2
Vardas318           Pavarde318          6                   2
Vardas319           Pavarde319          5.4                 9
Vardas320           Pavarde320          3                   7
Vardas321           Pavarde321          6                   1
Vardas322           Pavarde322          0.6                 10
Vardas323           Pavarde323          5.4                 10
Vardas324           Pavarde324          3                   6
Vardas325           Pavarde325          3                   3
Vardas326           Pavarde326          3.6                 5
Vardas327           Pavarde327          1.2                 3
Vardas328           Pavarde328          4.8                 3
Vardas329           Pavarde329          6                   10
Vardas330           Pavarde330          0.6                 8
Vardas331           Pavarde331          5.4                 7
Vardas332           Pavarde332          4.8                 9
Vardas333           Pavarde333          3                   9
Vardas334           Pavarde334          3                   8
Vardas335           Pavarde335          2.4                 7
Vardas336           Pavarde336          4.2                 10
Vardas337           Pavarde337          4.2                 4
Vardas338           Pavarde338          6                   2
Vardas339           Pavarde339          4.8                 7
Vardas340           Pavarde340          1.2                 6
Vardas341           Pavarde341          2.4                 9
Vardas342           Pavarde342          5.4                 10
Vardas343           Pavarde343          5.4                 1
Vardas344           Pavarde344          3                   5
Vardas345           Pavarde345          5.4                 1
Vardas346           Pavarde346          3                   3
Vardas347           Pavarde347          5.4                 2
Vardas348           Pavarde348          6                   3
Vardas349           Pavarde349          2.4                 6
Vardas350           Pavarde350          1.2                 7
Vardas351           Pavarde351          5.4                 3
Vardas352           Pavarde352          4.2                 6
Vardas353           Pavarde353          2.4                 10
Vardas354           Pavarde354          3                   5
Vardas355           Pavarde355          0.6                 8
Vardas356           Pavarde356          2.4                 3
Vardas357           Pavarde357          4.8                 4
Vardas358           Pavarde358          1.8                 3
Vardas359           Pavarde359          5.4                 7
Vardas360           Pavarde360          3                   10
Vardas361           Pavarde361          1.8                 5
Vardas362           Pavarde362          5.4                 6
Vardas363           Pavarde363          6                   3
Vardas364           Pavarde364          1.2                 3
Vardas365           Pavarde365          5.4                 5
Vardas366           Pavarde366          5.4                 9
Vardas367           Pavarde367          4.8                 3
Vardas368           Pavarde368          6                   4
Vardas369           Pavarde369          1.2                 3
Vardas370           Pavarde370          2.4                 5
Vardas371           Pavarde371          0.6                 1
Vardas372           Pavarde372          4.2                 5
Vardas373           Pavarde373          3                   8
Vardas374           Pavarde374          6                   8
Vardas375           Pavarde375          3.6                 9
Vardas376           Pavarde376          3.6                 5
Vardas377           Pavarde377          1.2                 2
Vardas378           Pavarde378          0.6                 7
Vardas379           Pavarde379          1.2                 2
Vardas380           Pavarde380          5.4                 1
Vardas381           Pavarde381          1.8                 2
Vardas382           Pavarde382          3                   9
Vardas383           Pavarde383          4.8                 3
Vardas384           Pavarde384          1.8                 5
Vardas385           Pavarde385          2.4                 3
Vardas386           Pavarde386          2.4                 5
Vardas387           Pavarde387          6                   10
Vardas388           Pavarde388          0.6                 8
Vardas389           Pavarde389          0.6                 2
Vardas390           Pavarde390          4.8                 4
Vardas391           Pavarde391          3                   4
Vardas392           Pavarde392          3                   10
Vardas393           Pavarde393          5.4                 5
Vardas394           Pavarde394          2.4                 2
Vardas395           Pavarde395          3.6                 10
Vardas396           Pavarde396          2.4                 10
Vardas397           Pavarde397          3.6                 2
Vardas398           Pavarde398          3                   6
Vardas399           Pavarde399          3.6                 3
Vardas400           Pavarde400          1.8                 10
Vardas401           Pavarde401          2.4                 2
Vardas402           Pavarde402          3                   10
Vardas403           Pavarde403          4.2                 1
Vardas404           Pavarde404          1.2                 5
Vardas405           Pavarde405          3                   4
Vardas406           Pavarde406          3.6                 1
Vardas407           Pavarde407          6                   10
Vardas408           Pavarde408          1.2                 8
Vardas409           Pavarde409          5.4                 3
Vardas410           Pavarde410          0.6                 10
Vardas411           Pavarde411          3                   1
Vardas412           Pavarde412          1.8                 5
Vardas413           Pavarde413          3.6                 5
Vardas414           Pavarde414          4.8                 3
Vardas415           Pavarde415          2.4                 9
Vardas416           Pavarde416          2.4                 10
Vardas417           Pavarde417          3                   5
Vardas418           Pavarde418          0.6                 1
Vardas419           Pavarde419          0.6                 5
Vardas420           Pavarde420          6                   10
Vardas421           Pavarde421          3.6                 6
Vardas422           Pavarde422          4.8                 6
Vardas423           Pavarde423          2.4                 10
Vardas424           Pavarde424          6                   8
Vardas425           Pavarde425          4.8                 10
Vardas426           Pavarde426          1.8                 2
Vardas427           Pavarde427          2.4                 10
Vardas428           Pavarde428          0.6                 8
Vardas429           Pavarde429          5.4                 6
Vardas430           Pavarde430          2.4                 5
Vardas431           Pavarde431          1.2                 2
Vardas432           Pavarde432          6                   4
Vardas433           Pavarde433          4.2                 10
Vardas434           Pavarde434          4.8                 3
Vardas435           Pavarde435          0.6                 2
Vardas436           Pavarde436          4.2                 3
Vardas437           Pavarde437          5.4                 6
Vardas438           Pavarde438          6                   3
Vardas439           Pavarde439          0.6                 5
Vardas440           Pavarde440          0.6                 2
Vardas441           Pavarde441          2.4                 1
Vardas442           Pavarde442          5.4                 3
Vardas443           Pavarde443          2.4                 7
Vardas444           Pavarde444          1.2                 3
Vardas445           Pavarde445          1.8                 3
Vardas446           Pavarde446          4.8                 2
Vardas447           Pavarde447          2.4                 2
Vardas448           Pavarde448          4.2                 4
Vardas449           Pavarde449          6                   6
Vardas450           Pavarde450          1.8                 7
Vardas451           Pavarde451          0.6                 2
Vardas452           Pavarde452          0.6                 1
Vardas453           Pavarde453          1.8                 1
Vardas454           Pavarde454          6                   3
Vardas455           Pavarde455          2.4                 4
Vardas456           Pavarde456          1.8                 4
Vardas457           Pavarde457          4.8                 5
Vardas458           Pavarde458          5.4                 2
Vardas459           Pavarde459          4.8                 7
Vardas460           Pavarde460          1.2                 5
Vardas461           Pavarde461          4.8                 1
Vardas462           Pavarde462          1.2                 3
Vardas463           Pavarde463          3.6                 1
Vardas464           Pavarde464          3.6                 3
Vardas465           Pavarde465          4.8                 7
Vardas466           Pavarde466          3                   2
Vardas467           Pavarde467          3.6                 3
Vardas468           Pavarde468          2.4                 7
Vardas469           Pavarde469          1.2                 9
Vardas470           Pavarde470          4.8                 7
Vardas471           Pavarde471          0.6                 2
Vardas472           Pavarde472          4.8                 5
Vardas473           Pavarde473          5.4                 5
Vardas474           Pavarde474          4.8                 3
Vardas475           Pavarde475          3.6                 6
Vardas476           Pavarde476          3.6                 2
Vardas477           Pavarde477          1.8                 8
Vardas478           Pavarde478          0.6                 6
Vardas479           Pavarde479          4.2                 2
Vardas480           Pavarde480          0.6                 7
Vardas481           Pavarde481          3                   5
Vardas482           Pavarde482          4.2                 10
Vardas483           Pavarde483          1.2                 1
Vardas484           Pavarde484          5.4                 10
Vardas485           Pavarde485          5.4                 10
Vardas486           Pavarde486          3                   10
Vardas487           Pavarde487          0.6                 4
Vardas488           Pavarde488          2.4                 4
Vardas489           Pavarde489          6                   8
Vardas490           Pavarde490          6                   6
Vardas491           Pavarde491          4.2                 4
Vardas492           Pavarde492          3                   7
Vardas493           Pavarde493          3                   8
Vardas494           Pavarde494          0.6                 5
Vardas495           Pavarde495          1.2                 1
Vardas496           Pavarde496          2.4                 3
Vardas497           Pavarde497          1.8                 10
Vardas498           Pavarde498          1.2                 10
Vardas499           Pavarde499          0.6                 1
Vardas500           Pavarde500          1.8                 4
Vardas501           Pavarde501          5.4                 6
Vardas502           Pavarde502          3                   5
Vardas503           Pavarde503          5.4                 9
Vardas504           Pavarde504          2.4                 3
Vardas505           Pavarde505          4.8                 4
Vardas506           Pavarde506          4.8                 9
Vardas507           Pavarde507          4.2                 10
Vardas508           Pavarde508          3.6                 2
Vardas509           Pavarde509          4.2                 7
Vardas510           Pavarde510          5.4                 9
Vardas511           Pavarde511          3                   1
Vardas512           Pavarde512          4.8                 4
Vardas513           Pavarde513          0.6                 9
Vardas514           Pavarde514          1.2                 9
Vardas515           Pavarde515          1.8                 8
Vardas516           Pavarde516          3.6                 9
Vardas517           Pavarde517          4.8                 3
Vardas518           Pavarde518          2.4                 2
Vardas519           Pavarde519          3.6                 4
Vardas520           Pavarde520          4.8                 7
Vardas521           Pavarde521          4.8                 10
Vardas522           Pavarde522          0.6                 2
Vardas523           Pavarde523          6                   1
Vardas524           Pavarde524          5.4                 4
Vardas525           Pavarde525          3.6                 8
Vardas526           Pavarde526          5.4                 7
Vardas527           Pavarde527          3.6                 8
Vardas528           Pavarde528          2.4                 5
Vardas529           Pavarde529          5.4                 10
Vardas530           Pavarde530          0.6                 4
Vardas531           Pavarde531          5.4                 5
Vardas532           Pavarde532          3                   9
Vardas533           Pavarde533          5.4                 2
Vardas534           Pavarde534          3.6                 3
Vardas535           Pavarde535          5.4                 2
Vardas536           Pavarde536          3                   5
Vardas537           Pavarde537          1.8                 3
Vardas538           Pavarde538          4.8                 8
Vardas539           Pavarde539          4.2                 2
Vardas540           Pavarde540          1.8                 2
Vardas541           Pavarde541          4.2                 1
Vardas542           Pavarde542          3.6                 9
Vardas543           Pavarde543          2.4                 6
Vardas544           Pavarde544          3.6                 6
Vardas545           Pavarde545          4.8                 2
Vardas546           Pavarde546          3                   1
Vardas547           Pavarde547          4.8                 7
Vardas548           Pavarde548          6                   6
Vardas549           Pavarde549          1.2                 5
Vardas550           Pavarde550          1.8                 2
Vardas551           Pavarde551          4.2                 1
Vardas552           Pavarde552          1.2                 3
Vardas553           Pavarde553          4.8                 9
Vardas554           Pavarde554          5.4                 7
Vardas555           Pavarde555          3.6                 4
Vardas556           Pavarde556          1.8                 9
Vardas557           Pavarde557          3                   6
Vardas558           Pavarde558          3.6                 4
Vardas559           Pavarde559          4.8                 8
Vardas560           Pavarde560          3.6                 4
Vardas561           Pavarde561          1.8                 4
Vardas562           Pavarde562          3                   7
Vardas563           Pavarde563          3                   7
Vardas564           Pavarde564          0.6                 7
Vardas565           Pavarde565          6                   5
Vardas566           Pavarde566          5.4                 2
Vardas567           Pavarde567          1.2                 1
Vardas568           Pavarde568          5.4                 8
Vardas569           Pavarde569          4.8                 8
Vardas570           Pavarde570          3.6                 7
Vardas571           Pavarde571          4.8                 7
Vardas572           Pavarde572          0.6                 7
Vardas573           Pavarde573          0.6                 5
Vardas574           Pavarde574          1.8                 6
Vardas575           Pavarde575          5.4                 3
Vardas576           Pavarde576          5.4                 9
Vardas577           Pavarde577          3.6                 2
Vardas578           Pavarde578          6                   1
Vardas579           Pavarde579          3.6                 10
Vardas580           Pavarde580          5.4                 5
Vardas581           Pavarde581          0.6                 3
Vardas582           Pavarde582          5.4                 1
Vardas583           Pavarde583          3.6                 2
Vardas584           Pavarde584          3                   4
Vardas585           Pavarde585          1.8                 5
Vardas586           Pavarde586          1.2                 1
Vardas587           Pavarde587          3                   1
Vardas588           Pavarde588          1.8                 1
Vardas589           Pavarde589          5.4                 4
Vardas590           Pavarde590          4.8                 7
Vardas591           Pavarde591          6                   2
Vardas592           Pavarde592          4.2                 8
Vardas593           Pavarde593          0.6                 3
Vardas594           Pavarde594          4.8                 8
Vardas595           Pavarde595          1.2                 4
Vardas596           Pavarde596          2.4                 8
Vardas597           Pavarde597          4.2                 7
Vardas598           Pavarde598          3.6                 8
Vardas599           Pavarde599          6                   10
Vardas600           Pavarde600          6                   1
Vardas601           Pavarde601          1.8                 4
Vardas602           Pavarde602          5.4                 5
Vardas603           Pavarde603          6                   5
Vardas604           Pavarde604          4.2                 2
Vardas605           Pavarde605          1.2                 2
Vardas606           Pavarde606          0.6                 10
Vardas607           Pavarde607          3.6                 9
Vardas608           Pavarde608          1.2                 4
Vardas609           Pavarde609          1.2                 9
Vardas610           Pavarde610          1.2                 3
Vardas611           Pavarde611          5.4                 10
Vardas612           Pavarde612          4.8                 9
Vardas613           Pavarde613          1.2                 8
Vardas614           Pavarde614          1.8                 6
Vardas615           Pavarde615          5.4                 6
Vardas616           Pavarde616          6                   4
Vardas617           Pavarde617          4.8                 4
Vardas618           Pavarde618          3                   9
Vardas619           Pavarde619          6                   10
Vardas620           Pavarde620          4.2                 9
Vardas621           Pavarde621          5.4                 5
Vardas622           Pavarde622          3.6                 7
Vardas623           Pavarde623          4.2                 2
Vardas624           Pavarde624          3.6                 8
Vardas625           Pavarde625          2.4                 2
Vardas626           Pavarde626          4.2                 1
Vardas627           Pavarde627          1.8                 7
Vardas628           Pavarde628          0.6                 8
Vardas629           Pavarde629          2.4                 8
Vardas630           Pavarde630          4.8                 8
Vardas631           Pavarde631          4.2                 2
Vardas632           Pavarde632          2.4                 2
Vardas633           Pavarde633          3                   10
Vardas634           Pavarde634          5.4                 9
Vardas635           Pavarde635          3.6                 5
Vardas636           Pavarde636          6                   2
Vardas637           Pavarde637          3.6                 7
Vardas638           Pavarde638          3                   3
Vardas639           Pavarde639          3                   2
Vardas640           Pavarde640          3                   3
Vardas641           Pavarde641          3.6                 5
Vardas642           Pavarde642          5.4                 4
Vardas643           Pavarde643          2.4                 7
Vardas644           Pavarde644          5.4                 3
Vardas645           Pavarde645          4.8                 2
Vardas646           Pavarde646          1.8                 2
Vardas647           Pavarde647          4.8                 4
Vardas648           Pavarde648          5.4                 5
Vardas649           Pavarde649          4.8                 9
Vardas650           Pavarde650          6                   3
Vardas651           Pavarde651          5.4                 8
Vardas652           Pavarde652          4.2                 7
Vardas653           Pavarde653          4.8                 4
Vardas654           Pavarde654          2.4                 6
Vardas655           Pavarde655          0.6                 10
Vardas656           Pavarde656          3                   9
Vardas657           Pavarde657          3                   7
Vardas658           Pavarde658          2.4                 3
Vardas659           Pavarde659          5.4                 3
Vardas660           Pavarde660          1.8                 4
Vardas661           Pavarde661          0.6                 2
Vardas662           Pavarde662          3.6                 5
Vardas663           Pavarde663          1.8                 2
Vardas664           Pavarde664          6                   4
Vardas665           Pavarde665          1.8                 7
Vardas666           Pavarde666          0.6                 2
Vardas667           Pavarde667          1.8                 8
Vardas668           Pavarde668          4.2                 10
Vardas669           Pavarde669          1.2                 7
Vardas670           Pavarde670          2.4                 2
Vardas671           Pavarde671          0.6                 6
Vardas672           Pavarde672          5.4                 6
Vardas673           Pavarde673          6                   1
Vardas674           Pavarde674          4.8                 7
Vardas675           Pavarde675          5.4                 3
Vardas676           Pavarde676          3.6                 1
Vardas677           Pavarde677          4.2                 10
Vardas678           Pavarde678          1.8                 10
Vardas679           Pavarde679          0.6                 5
Vardas680           Pavarde680          4.8                 2
Vardas681           Pavarde681          4.2                 10
Vardas682           Pavarde682          1.2                 3
Vardas683           Pavarde683          4.2                 2
Vardas684           Pavarde684          6                   6
Vardas685           Pavarde685          1.8                 2
Vardas686           Pavarde686          4.8                 1
Vardas687           Pavarde687          3.6                 6
Vardas688           Pavarde688          0.6                 1
Vardas689           Pavarde689          4.8                 6
Vardas690           Pavarde690          3                   3
Vardas691           Pavarde691          3.6                 10
Vardas692           Pavarde692          4.2                 2
Vardas693           Pavarde693          4.8                 6
Vardas694           Pavarde694          4.2                 3
Vardas695           Pavarde695          2.4                 4
Vardas696           Pavarde696          1.2                 9
Vardas697           Pavarde697          5.4                 8
Vardas698           Pavarde698          1.8                 7
Vardas699           Pavarde699          3                   3
Vardas700           Pavarde700          5.4                 3
Vardas701           Pavarde701          1.2                 5
Vardas702           Pavarde702          4.8                 6
Vardas703           Pavarde703          3                   8
Vardas704           Pavarde704          0.6                 3
Vardas705           Pavarde705          1.2                 8
Vardas706           Pavarde706          4.2                 3
Vardas707           Pavarde707          0.6                 8
Vardas708           Pavarde708          2.4                 6
